,volume,timestamp,price,high,low,open,change
0,19.70M,1662552000,0.037180000000000005,0.0385,0.035160000000000004,0.036840000000000005,0.92%
1,19.70M,1662552000,0.037180000000000005,0.0385,0.035160000000000004,0.036840000000000005,0.92%
2,18.96M,1662465600,0.036840000000000005,0.040870000000000004,0.0367,0.039150000000000004,-5.90%
3,18.96M,1662465600,0.036840000000000005,0.040870000000000004,0.0367,0.039150000000000004,-5.90%
4,21.20M,1662379200,0.039150000000000004,0.04102,0.035440000000000006,0.03742,4.62%
5,21.20M,1662379200,0.039150000000000004,0.04102,0.035440000000000006,0.03742,4.62%
6,19.12M,1662292800,0.03742,0.038650000000000004,0.0366,0.037200000000000004,0.48%
7,23.08M,1662206400,0.03724,0.04059,0.0367,0.038470000000000004,-3.52%
8,35.00M,1662120000,0.0386,0.0585,0.03535,0.03674,4.89%
9,35.00M,1662120000,0.0386,0.0585,0.03535,0.03674,4.89%
10,19.27M,1662033600,0.0368,0.040220000000000006,0.03542,0.0367,0.27%
11,19.27M,1662033600,0.0368,0.040220000000000006,0.03542,0.0367,0.27%
12,5.35M,1661947200,0.0367,0.037660000000000006,0.03501,0.037430000000000005,-1.95%
13,5.35M,1661947200,0.0367,0.037660000000000006,0.03501,0.037430000000000005,-1.95%
14,6.55M,1661860800,0.037430000000000005,0.040600000000000004,0.0356,0.039950000000000006,-6.31%
15,13.17M,1661774400,0.039950000000000006,0.040330000000000005,0.03801,0.0386,3.50%
16,12.30M,1661688000,0.0386,0.045,0.03563,0.03642,5.99%
17,573.24K,1661601600,0.03642,0.039310000000000005,0.03456,0.036680000000000004,-1.06%
18,627.31K,1661515200,0.03681,0.03914,0.03674,0.03891,-5.40%
19,11.58M,1661428800,0.03891,0.04215000000000001,0.038900000000000004,0.03968,-1.94%
20,18.95M,1661342400,0.03968,0.043030000000000006,0.03948,0.041960000000000004,-5.43%
21,20.29M,1661256000,0.041960000000000004,0.046680000000000006,0.0398,0.040100000000000004,4.64%
22,19.74M,1661169600,0.040100000000000004,0.04336,0.040080000000000005,0.042620000000000005,-5.91%
23,21.23M,1661083200,0.042620000000000005,0.052000000000000005,0.04095,0.04306,-1.02%
24,21.23M,1661083200,0.042620000000000005,0.052000000000000005,0.04095,0.04306,-1.02%
25,12.23M,1660996800,0.04306,0.04648,0.039420000000000004,0.04499,-4.29%
26,12.23M,1660996800,0.04306,0.04648,0.039420000000000004,0.04499,-4.29%
27,26.97M,1660910400,0.04499,0.056830000000000006,0.0449,0.054610000000000006,-17.31%
28,26.97M,1660910400,0.04499,0.056830000000000006,0.0449,0.054610000000000006,-17.31%
29,41.20M,1660824000,0.05441000000000001,0.07150000000000001,0.03683,0.03683,47.73%
30,8.82M,1660737600,0.03683,0.037930000000000005,0.035730000000000005,0.0358,2.82%
31,7.96M,1660651200,0.035820000000000005,0.037930000000000005,0.035190000000000006,0.037540000000000004,-4.66%
32,7.96M,1660651200,0.035820000000000005,0.037930000000000005,0.035190000000000006,0.037540000000000004,-4.66%
33,8.60M,1660564800,0.037570000000000006,0.039040000000000005,0.03706,0.037320000000000006,0.67%
34,8.60M,1660564800,0.037570000000000006,0.039040000000000005,0.03706,0.037320000000000006,0.67%
35,7.86M,1660478400,0.037320000000000006,0.040100000000000004,0.037140000000000006,0.039400000000000004,-5.28%
36,7.86M,1660478400,0.037320000000000006,0.040100000000000004,0.037140000000000006,0.039400000000000004,-5.28%
37,7.16M,1660392000,0.039400000000000004,0.039580000000000004,0.03934,0.039400000000000004,0.00%
38,7.16M,1660392000,0.039400000000000004,0.039580000000000004,0.03934,0.039400000000000004,0.00%
39,4.08M,1660305600,0.039400000000000004,0.0396,0.039360000000000006,0.039420000000000004,-0.05%
40,4.08M,1660305600,0.039400000000000004,0.0396,0.039360000000000006,0.039420000000000004,-0.05%
