timestamp,open,high,low,text
2017-11-14,316.763,340.177002,316.763,Look what I found! Beachwave collectible #NFT  #NFTartwork #NFTs #NFTCommunity #nftcollector #nftart #nftart #NFTartist #cryptoartwork #cryptoart #generativeart #NFTshill #NFTdrop https://t.co/tLl5k99iQE #rarible #ethereum #flow #nonfungible #digitalasset #nft via @rarible
2017-11-17,330.166992,334.963989,327.52301,Requesting faucet funds into 0xAf3ab344CC5DF9835B1A80aAE8CF8933f366f251 on the #Rinkeby #Ethereum test network.
2017-11-18,331.980011,349.615997,327.687012,"The project uses very competent marketing and price policy. I am confident that the project will show itself well in the future.

#blockchain #bitcoin  #crypto #ethereum #cryptocurrencies #fintech #defi #hashtoken #hashbon  
@hashbon"
2017-11-19,347.401001,371.290985,344.73999,Requesting faucet funds into 0xC317ED124A102935d3c45803B159417D21600213 on the #Rinkeby #Ethereum test network.
2017-11-21,367.442993,372.470001,350.692993,@TheCryptoLark #Bitcoin #Ethereum #doge (yes dogecoin) @Stacks @ensdomains @TheAlienBoyNFT
2017-11-24,412.501007,480.972992,402.757996,"3-months Global Activity

AltRank™ 0
 
👇👇👇👇
https://t.co/iablWHRnQT

#LunarCrush #LunarShare  
#Bitcoin #Ethereum"
2017-11-25,475.675995,485.191986,461.053009,"I've just minted ""All About the Benji.."" collectible! https://t.co/yR1Jchue4C #rarible #ethereum #flow #nonfungible #digitalasset #nft via @rarible"
2017-11-26,465.973999,472.722992,451.605988,"0xBf491F9325Af85a57184dEABFfD6CB63f65bE0Ee

#GreenShiba 
#KISHU #SHIBARMY #flokiarmy #FlokiVikings
#Shib #Doge #BabyDoge #floki #SafeMoon #crypto #bitcoin #btc #ethereum #ETH #uniswap #ADA #LTC #TRX #Tron #BCH #meme https://t.co/chdmnqH0Gh"
2017-11-27,471.531006,493.404999,468.484985,Requesting faucet funds into 0xB27d3CC709E8aAE7f8ed63E8ec61436EAdB0B4A3 on the #Rinkeby #Ethereum test network.
2017-11-28,480.518005,482.480011,466.346985,"Fact: #Protonchain coins offers zero gas fees &amp; mostly fiat integration. 
Fact: buy wrapped (x-token) #ETH &amp; $BTC on #Protonchain too

SOOOOO...
Why are you still paying $17-27.00 (gas) per transaction on #Ethereum?
https://t.co/9P1Zq8WGaG"
2017-11-29,473.281006,522.307007,425.071014,"You can do Cloud Mining using this site https://t.co/omEdBTT6mI 

#mining #dogemining #trxmining #btcmining #money #earnmoney #register #bitcoin #ethereum #btc #eth 2148 https://t.co/tLO63tpjVC"
2017-11-30,431.214996,465.497009,401.243011,Requesting faucet funds into 0x0000000000000000000000000000000000000000 on the #Rinkeby #Ethereum test network.
2017-12-01,445.209015,472.609009,428.312012,Requesting faucet funds into 0x1585b99E3ACCE5d368934feFb12eC0D8a9A6A765 on the #Goerli #Ethereum test network via https://t.co/aSUSD517U3
2017-12-06,462.604004,462.708008,420.209991,"@udiWertheimer There is a big difference between CNBC stating misinformation about a #Bitcoin update and the #Ethereum core development team touting EIP1559 as making ETH a deflationary currency.

BIG DIFFERENCE my friend."
2017-12-07,426.368988,441.397003,414.411011,"My Crypto Strategy on ICONOMI just outperformed BTC.
Check it out here:
https://t.co/qndBcgsYrZ
#btc #blockchain #ethereum #trading https://t.co/CWvbhXYik3"
2017-12-14,700.593994,753.120972,664.989014,"Ethereum 1-month Market Dominance is down -0.7651% to 18.641 with price up 22.39% to $4,711.62 

https://t.co/QTfmcRyxJ9
$ETH #Ethereum #LunarShare #LunarCrush"
2017-12-16,686.192017,718.38501,680.786011,"Curve's $EURS / $USDC #APY doesn't hold a candle against @DFXFinance. Granted the pool only has 1/4 of its liquidity, but still, you'd think #YieldFarmers would go after higher #yields ¯\_(ツ)_/¯

#Crypto #cryptocurrencies #DeFi #Ethereum $ETH #FX $TEL #TelFam $CRV #DFX #altcoin https://t.co/SLQrNMO7sC"
2017-12-17,696.237,735.825012,696.237,Requesting faucet funds into 0xee2a4c655EA792d92F12A3Caea21188be6dEa808 on the #Rinkeby #Ethereum test network.
2017-12-18,721.731995,803.927979,689.231018,"#eth #ethereum Do you think we're in the white count or the green count? 
https://t.co/cDAM1uPmjH"
2017-12-19,793.901001,881.94397,785.34198,#Ethereum acquired $SPX's chadonomics. https://t.co/hzdgCzT0ry
2017-12-20,827.515991,845.062012,756.004028,"It’s going to be a fabulous week ! Buckle up boys $SUKU #SUKU 💪✋💎🤚

#Bitcoin #Ethereum $SUKU $ACH $ASM $JASMY $AMP $ANKR $IOtX"
2017-12-23,681.315979,763.89502,679.731018,"It's not dollar for dollar or percent by percent... but the macro image of the #bitcoin price action is so similar to 2017. Yes there are and will be differences... but to me
✍🏻$200k-$250k is programmed
👉🏻 next major target is $83k-$88k
#btc #crypto #ethereum #aioz https://t.co/ETcIgyVIob"
2017-12-25,698.869995,782.520996,698.869995,"#Ethereum ( $ETH ) is now worth 4544$ 
last 24 hours -2.13% 
last 7 days -1.39% 

Buy #DogeCoin at https://t.co/dLoHsSXQq9 using your #MasterCard or #Visa https://t.co/PEOtkuR1DG"
2017-12-26,763.369995,786.789978,760.934998,Requesting faucet funds into 0x81C09DaF37Af7Af8C498eE4EA17393f0a790d449 on the #Rinkeby #Ethereum test network
2017-12-28,762.208008,763.31897,701.187012,"Here's this analyst's take on #Solana and whether #Ethereum will just 'go away'

https://t.co/e8y47eVlGz"
2017-12-29,740.388977,770.117004,729.607971,Requesting faucet funds into 0x7452Abf81Da1490484F0B5a1C74DdcCbb7Ac1B10 on the #Rinkeby #Ethereum test network.
